Rank,NCTId,BriefTitle,Condition,EligibilityCriteria,DetailedDescription,Keyword,OverallStatus,LocationCity,StartDate,SeeAlsoLinkURL
624,NCT00694707,Safety and Efficacy of Cariprazine (RGH-188) in the Acute Exacerbation of Schizophrenia,Schizophrenia,"Inclusion Criteria:||Male or female, 18 to 60 years of age.|Meets Diagnostic and Statistical Manual of Mental Disorders, 4th Edition (DSM-IV) criteria for schizophrenia (paranoid type, disorganized type, catatonic type, or undifferentiated type) based on a Structured Clinical Interview for DSM-IV (SCID).|Total Positive and Negative Syndrome Scale (PANSS) score ≥ 80 and ≤ 120.|Diagnosis of schizophrenia for at least 1 year.||Exclusion Criteria:||Abnormalities on physical examination or abnormal vital signs, electrocardiogram, or clinical laboratory values.|First episode of psychosis.",0,0,Completed,"Costa Mesa|Long Beach|Oceanside|Paramount|Riverside|Washington|Bradenton|Kissimmee|Lake Charles|Baltimore|Flowood|Bridgeton|Cincinnati|Charleston|Memphis|Houston|Houston|Irving|Vijaywada|Visakhapatnam|Ahmedabad|Ahmedabad|Bangalore|Bangalore|Mangalore|Mangalore|Manipal|Mysore|Pune|Jaipur|Chennai|Chennai|Tirupati|Kanpur|Johor Bahru|Kota Bharu|Lembah Pantai|Ipoh|Ulu Kinta|Arkhangelsk|Gatchina|Kazan|Moscow|Moscow|Moscow|Nizhniy Novgorod|Samara|St. Petersburg|St. Petersburg|St. Petersburg|St. Petersburg|St. Petersburg|St. Petersburg|St. Petersburg|Dnipropetrovsk|Donetsk|Kharkiv|Glevakha|Kyiv|Kyiv|Odessa|Ternopil|Chernigiv|Kherson, Vil. Stepanivka|Kiev","June 30, 2008",0
625,NCT01098110,6-week Trial of the Efficacy and Safety of Asenapine Compared to Placebo in Participants With an Acute Exacerbation of Schizophrenia (P06124),Schizophrenia,"Inclusion Criteria:||current diagnosis of schizophrenia of paranoid, disorganized, catatonic, or undifferentiated (295.90) subtype|minimum Positive and Negative Syndrome Scale (PANSS) total score of 60 at screening and Baseline.|participant had a score of at least 4 in two or more of 5 items in the positive subscale of the PANSS at Screening and Baseline.||participant confirmed by the investigator to be experiencing an acute exacerbation of schizophrenia as evidenced by ALL of the following:||at the screening test, the duration of the current episode was no more than 2 months;|current symptoms represented a dramatic and substantial change compared to the participant's symptomatic state prior to the emergence of the current episode;|participant was in need of changing medication or dosage to treat newly appeared or worsened positive symptoms.|participant had a Clinical Global Impressions-Severity (CGI-S) scale score of at least 4 (moderately ill) at Baseline;|responded positively to an antipsychotic medication in a prior episode.|discontinued the use of all prohibited concomitant medications, with last dose taken no later than the evening prior to the baseline visit (For depot neuroleptic, discontinuation must have occurred more than 3 months prior to randomization).|participants must agree to inpatient status for screening period and for up to 42 days of dosing and, for out-patient phase, had a caregiver or an identified responsible person (e.g., family member, social worker, case worker, or nurse) whom the investigator accepts and who has agreed to provide support to the participant to ensure compliance with study treatment, out-patient visits, and protocol procedures.||Exclusion Criteria:||not be treatment-refractory defined by the following criteria: (1) had been treated with at least two different atypical anti-psychotic agents at dosages equivalent to or greater than 600 mg/day of chlorpromazine (12 mg /day of haloperidol) for more than 4 weeks, each without clinical response, or (2) has received clozapine for 12 weeks immediately preceding the screening.|not have received treatment with 3 or more antipsychotic drugs, or dose-equivalents higher than 18 mg/day of haloperidol (equivalent 900 mg/day of chlorpromazine) within one month prior to randomization.|not have a diagnosis of schizoaffective disorder; schizophrenia of residual subtype; schizophreniform disorder, or schizophrenia with course specifiers continuous, single episode in partial remission, or single episode in full remission|not have a concurrent psychiatric disorder other than schizophrenia coded on Axis I; not have a primary diagnosis other than schizophrenia|not have had a known diagnosis of borderline personality disorder, mental retardation or organic brain disorder.|not have a 20% or greater decrease in PANSS total score from screening to baseline|not have an imminent risk of self-harm or harm to others, in the investigator's opinion.|not have a substance induced psychotic disorder or a behavioral disturbance thought to be due to substance abuse|not be currently under involuntary in-patient confinement.|not been previously treated with asenapine.",0,0,Completed,0,"May 25, 2010",0
626,NCT03608462,Modulation of Repetitive Transcranial Magnetic Stimulation on Hippocampal Neurogenesis and Functional Network in Patients With Schizophrenia,Schizophrenia,"Early schizophrenia group:||Inclusion Criteria:||The Structured Interview for Prodromal Symptoms (SIPS) was employed.|Meet the diagnostic criteria of Diagnostic and Statistical Manual Diploma in Social Medicine(DSM-V) schizophrenia or schizophreniform psychosis.|18-50years of age,right-handed,normal vision or corrected vision, Han nationality.|Disease course less than 5 years.|Written informed consent||Observation group: First-episode, In addition to criteria1-3,5,antipsychotics naïve,or antipsychotics withdrawal for more than 3 months.||Intervention group:In addition to criteria 1-6,currently under medication and medically stable for at least 1 month(PANSS score fluctuation<10%);continue the original antipsychotics for at least 1 months after recruitment,with consent of the patients,their psychiatrists and family members.||Exclusion criteria:||Current or past neurological illness,severe physical illness,substance abuse or addiction,alcohol dependence,mental retardation,pregnancy or lactation,extreme agitation, stupor, negative suicide,or those who can not cooperate.A history of MECT within 6 months,or those with contraindications to MRI,rTMS.Medically unstable for at least 1 month (PANSS score fluctuation>10%)||Healthy controls:||Inclusion Criteria:||The Structured Interview for Prodromal Symptoms (SIPS) was employed|Matched to the early schizophrenia group in terms of age,sex ratio,handedness,and estimated premorbid IQ|normal vision or corrected vision, Han nationality|Written informed consent||Exclusion Criteria:||History of psychiatric disease in the subjects themselves or a family history of mental disorder in their first-degree relatives,neurological illness,severe physical illness,substance abuse or alcohol dependence,mental retardation.","This study includes 150 schizophrenia patients and 30 healthy controls.This study will investigate 1).abnormalities of hippocampal neurogenesis in patients with schizophrenia compared to healthy controls by using 1H-MRS technique 2a).potential modulation effects of repetitive transcranial magnetic stimulation(rTMS) on hippocampal neurogenesis and cortical-hippocampal function of patients with schizophrenia 2b).the optimal rTMS therapy pattern on promoting hippocampal neurogenesis and improving cortico-hippocampal function by comparing the outcome of stimulating two regions(right dorsolateral prefrontal cortex or left parietal cortex) respectively 3).the therapeutic efficacy of rTMS on cognitive impairments and other psychotic symptoms of patients with schizophrenia by adopting cognitive function and psychotic symptoms evaluation,as well as to explore the optimal rTMS treatment pattern on cognitive function by comparing the outcome of stimulating two regions(DLPFC or LPC) respectively 4)association between therapeutic efficacy of rTMS on cognitive deficits and rTMS modulation on hippocampal neurogenesis and its network function,in order to elucidate the underlying mechanism of therapeutic effects of rTMS on cognitive dysfunction in schizophrenia.",first episode schizophrenia|rTMS|hippocampal neurogenesis|MRS|cognitive function,Unknown status,Shanghai,"April 1, 2019",0
627,NCT00220870,Shared Decision Making for Schizophrenia,Schizophrenia,Inclusion Criteria:||schizophrenia (ICD10)|age 18 - 65 years|inpatients||Exclusion Criteria:||mental retardation|no informed consent,to follow,schizophrenia|shared decision making|compliance|maintenance therapy,Completed,München,January 2003,http://www.patient-als-partner.de
629,NCT03413527,rTMS Treatment for Positive and Negative Symptoms of Schizophrenia,Schizophrenia,"Inclusion Criteria:||are voluntary and competent to consent to treatment|have a diagnosis of schizophrenia or schizoaffective disorder|are between the ages of 18 and 75|are willing and able to adhere to the treatment schedule|Pass the TMS adult safety-screening (TASS) questionnaire|have normal thyroid functioning based on pre-study blood work. Patients may be reassessed for the study once thyroid levels have normalized.|are willing and able to cooperate with interviews and follow simple instructions||Exclusion Criteria:||do not pass the TASS Safety Screening Questionnaire|have a significant history of seizures|have active suicidal intent|are pregnant or may be pregnant. A pregnancy test will be performed for fertile women.|have failed a course of Electroconvulsive Therapy (ECT) in the current or previous episode|have any significant neurological disorder or insult including, but not limited to: any condition likely to be associated with increased intracranial pressure, space occupying brain lesion, any history of seizure except those therapeutically induced by ECT, cerebral aneurysm, Parkinson's disease, Huntington's chorea, multiple sclerosis, or head trauma resulting in loss of consciousness greater than or equal to 5 minutes|have an intracranial implant (e.g., aneurysm clips, shunts, stimulators, cochlear implants, or electrodes) or any other metal object within or near the head, excluding the mouth, that cannot be safely removed|have had changes in dose or initiation of any psychotropic medication in the 4 weeks prior to screening. Patients may be re-screened once medications have been stable for 4 weeks.|currently (or in the last 4 weeks) take more than lorazepam 2 mg daily (or equivalent) or any dose of an anticonvulsant due to the potential to limit rTMS efficacy",0,rTMS,Unknown status,Hamilton,February 2016,0
630,NCT00698295,Linear and Non-linear Analysis of EEG Changes in Schizophrenia After Atypical Antipsychotics Medication,Schizophrenia,"Inclusion Criteria:||Male or female patients, 15-65 years of age.|Patients must have a diagnosis of schizophrenia according to the Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition (DSM-IV).|Patients who are drug-naive or drug-free for more than 4 weeks.|Patients who are scheduled to receive atypical antipsychotics.|Each patient must provide written informed consent after full explanation of study protocol, and authorized legal guardian must understand the nature of the study and must also give assent to study participation.|Subjects who are fluent in Korean.||Exclusion Criteria:||DSM-IV substance (except nicotine or caffeine) dependence within the past 1 year.|Mental retardation (IQ < 70).|Neurological disorders including epilepsy, stroke, or severe head trauma.|Clinically significant laboratory abnormalities, on any of the following tests: CBC with differential, electrolytes, BUN, creatinine, hepatic transaminases, urinalysis and EKG.|Treatment with an injectable depot neuroleptic within less than three dosing interval between the last depot neuroleptic injections and baseline.|History of electroconvulsive therapy or transcranial magnetic stimulation within the past 3 months.|Subjects who are not fluent in Korean.","Electroencephalographic (EEG) changes are abundant in patients receiving antipsychotic treatment. However, studies on the meaning of these changes are rare. The results of traditional analyses based on linear methodologies were inconsistent and hard to interpret. Therefore, non-linear analyses of EEG may provide additional information in evaluating antipsychotic-induced changes in EEG.||In this study, we hypothesized that linear and non-linear EEG changes in patients with schizophrenia may be valuable in predicting treatment outcome. We also hypothesized that the assessment of other psychotic symptoms and side effects of antipsychotics may provide additional information in interpreting the results of EEG analyses.",schizophrenia|atypical antipsychotics|EEG,Unknown status,Yongin City,September 2004,http://www.acnp.org/g4/GN401000119/CH117.html|http://www.schizophrenia.com/sznews/archives/002206.html
632,NCT01281527,Paliperidone Palmitate Flexible Dosing in Schizophrenia,Schizophrenia,"Inclusion Criteria:||Meet the DSM-IV criteria for schizophrenia Currently non-acute, i.e., on the same antipsychotic medication used for the treatment of schizophrenia given in an adequate dose and a CGI-S change <= 1 in the past 4 weeks before enrollment Patient has been given an adequate dose of either an appropriate oral antipsychotic, or a protocol-defined LAI antipsychotic for an adequate period of time prior to enrollment, but current treatment is considered unsuccessful OR Patients with acute symptoms of schizophrenia, previously treated with an oral antipsychotic, having a baseline total Positive and Negative Syndrome Scale (PANSS) score >= 80 and a baseline CGI-S score >= 4 Women must be postmenopausal for at least 1 year, surgically sterile, abstinent (at the discretion of the investigator/per local regulations), or if sexually active, be practicing a highly effective method of birth control as local regulations permit, and before entry, must agree to continue to use the same method of contraception throughout the study Is cooperative and reliable, and agrees to receive regular injections and complete all aspects of the protocol Men must agree to use a double barrier method of birth control and to not donate sperm during the study and for 3 months after receiving the last dose of study drug.||Exclusion Criteria:||The patient's psychiatric diagnosis is due to direct pharmacological effects of a substance (e.g., a drug of abuse or medication) or a general medical condition (e.g., clinically notable hypothyroidism) First antipsychotic treatment ever, i.e., patient has never been treated with antipsychotics before and antipsychotic treatment given in this study will be the first antipsychotic treatment that the patient will have ever received On clozapine during the last 3 months Patients who remain at imminent risk of suicide even after clinical intervention Serious unstable medical condition, including recent and present clinically relevant laboratory abnormalities","This study explores the tolerability, safety and treatment response of flexibly dosed paliperidone palmitate in approximately 1,000 patients with schizophrenia previously unsuccessfully treated with an oral or LAI antipsychotic medication. Non-acute and acute patients will be involved in the study. This study consists of a screening phase, a 6-month core treatment phase, and an optional extension phase. A transition period of preferably a maximum of 4 weeks will be allowed for the previous oral antipsychotic. When switching patients from previous LAI antipsychotics, paliperidone palmitate will be initiated in place of the next scheduled injection. Patients without source documentation of previous risperidone or paliperidone exposure must undergo oral tolerability testing with paliperidone ER (3 mg/day) for the 2 days prior to Baseline Visit. Patients who successfully complete the 6-month core treatment phase and would like to continue treatment with paliperidone palmitate may be enrolled in an optional extension phase until paliperidone palmitate is available in their respective country or until a maximum duration of 12 months after the last subject has completed the 6-month core treatment phase, whichever comes first. Patients will receive, without cost, paliperidone palmitate. Patients entering this optional extension phase, will receive once monthly injections with paliperidone palmitate. The recommended maintenance dose for these monthly injections is 75 mg eq. once monthly but flexible dosing in the range of 50 to 150 mg eq. once monthly will be allowed. The doctor may flexibly increase or decrease the dose preferably by one dosing level (within the range of 50 to 150 mg eq.) according to patients' clinical needs. During the extension phase, two types of visits can be distinguished: 'assessment visits' and 'treatment-only visits'. At each assessment visit (once every 3 months +/- 7 days), patients will receive their injection and will be questioned about adverse events (AEs). Body weight will also be assessed. Paliperidone palmitate will be given once monthly by injection in either the upper arm or buttocks muscle, but start every time with upper arm application. The recommended maintenance dose for these monthly injections is 75 mg eq., range could be between 50 to 150 mg eq.",Paliperidone palmitate|Schizophrenia|Intramuscular injection,Completed,Salzburg N/A|Brussel|Dave|Diest|Kruishoutem|Liege|Melle|Roeselare|Sint-Denijs-Westrem|Tournai|Rijeka|Zagreb|Aalborg|København V|Randers|Tallinn|Bar Le Duc|Bron|Clermont Ferrand|Dax|Dijon Cedex|Dole|Lille|Limoges Cedex 1|Montpellier|Nimes|Paris|Saint Nazaire|St Priest En Jarez|Strasbourg Cedex|Villejuif Cedex|Bad Saarow|Berlin|Bielefeld|Bochum|Butzbach|Dresden|Gelsenkirchen|Greifswald|Hamburg|Heidelberg|Königsbrück|Mittweida|Oranienburg|Regensburg|Stralsund|Ulm|Westerstede|Würzburg|Arta|Athens|Katerini|Thessalonikis|Thessaloniki|Budapest|Debrecen|Pécs|Pardesia|Ramat Gan|Tirat Hacarmel|Daugavpils|Jelgava|Liepaja|Riga|Sigulda|Strenci|Panevezys|Vilnius|Groningen|Almada N/A|Angra Do Heroísmo|Castelo Viegas N/A|Coimbra|Lisboa|Porto|Alcorcon|Alicante|Barcelona|Burgos|Coslada|Elche|Madrid|Malaga N/A|Palma De Mallorca|San Juan De Alicante|Sant Boi De Llobregat|Santa Coloma De Gramenet|Vigo|Zamora|Zaragoza|Göteborg|Lidingö|Malmö|Mölndal|Spånga|Upplands-Väsby|Solothurn|Zürich|Ankara N/A|Ankara|Diyarbakir|Gaziantep|Istanbul|Izmir|Trabzon|Dnepropetrovsk|Donetsk|Glevakha|Ivano-Frankivsk|Kharkiv|Kharkov|Kiev|Lvov|Odessa|Poltava|Simferopol|Smela|Ternopil|Uzhgorod|Yevpatoria|Barnet|Birmingham|Cambridge|Coventry|Darlington|Lincoln|London|Prescott|Stoke-On-Trent,November 2010,http://filehosting.pharmacm.com/DownloadService.ashx?client=CTR_JNJ_6051&studyid=229&filename=CR017215_CSR.pdf
633,NCT01595503,Transcranial Magnetic Stimulation for the Treatment of Auditory Hallucinations in Schizophrenia,Schizophrenia,"Inclusion Criteria:||Provide signed and dated informed consent form|Male or female, aged 18 to 60|Willing to comply with all study procedures and be available for the duration of the study|Primary diagnosis of schizophrenia or schizoaffective disorder according to DSM-IV (29)|Currently reporting AHs, rated a minimum of 4 (moderate) on the auditory hallucination item of the Brief Psychiatric Rating Scale (BPRS; 27), and AH will be present daily|AHs must have failed to resolve after a minimum of two adequate trials (doses within standard therapeutic range for a minimum of 8 weeks each) of psychotropic medication including at least one atypical antipsychotic medication; documented trials of antipsychotic medication limited by intolerable side effects, e. g. extra-pyramidal symptoms, tardive dyskinesia, weight gain, neuroleptic-induced dysphoria, will also be considered as equivalent to adequate trials.|Weight and girth compatible with the bore of the MRI scanner; generally men over 6 feet tall < 250 lbs, men under 6 feet tall < 220 lbs, women over 5'11"" tall < 220 lbs, or women under 5'10"" tall < 200 lbs||Exclusion Criteria:||Substance abuse or dependence in the past 1 month|Current or past history of serious medical or neurological illness that could compromise brain function or present an increased risk of seizure, e. g. conditions that may significantly alter electrolyte balance, stroke, epilepsy, any history of seizure;|Pregnant or trying to become pregnant;|Inability to tolerate small, enclosed spaces without anxiety;|Metals, implants or metallic substances within or on the body that might cause adverse effects to the subject in a strong magnetic field, or interfere with image acquisition, e. g. aneurysm clips, retained particles, neurostimulators, foil-backed transdermal patches;|Facial tattoos with metallic ink|Inability to follow study protocol|Change in antipsychotic therapy in previous 2 weeks|Currently under an alternative treatment order|Unstable symptoms which could, in the judgment of the study team, exhibit symptomatic worsening over the course of the protocol|Current treatment with another investigational drug or other intervention|Anything that, in the opinion of the investigator, would place the subject at increased risk or preclude the subject's full compliance with or completion of the study;|No quantifiable motor threshold such that TMS dosage cannot be accurately determined",0,"Schizophrenia, auditory hallucination",Terminated,Ann Arbor,May 2011,0
634,NCT02539797,Improving Cognition in Schizophrenia Using tDCS,Schizophrenia,"Inclusion Criteria:||Diagnostic and Statistical Manual of Mental Disorders (DSM)-V Diagnosis of Schizophrenia|Must understand spoken English sufficiently to comprehend testing procedures|Estimated premorbid intelligence quotient (IQ) > 70 (based on reading ability)|Ongoing care of a Psychiatrist, Psychologist, or other qualified mental health professional||Exclusion Criteria:||Metal in cranium|Cardiac lines/pacemaker|Medication pump|Increased intracranial pressure|Lifetime history of serious head injury (LOC > 1 hr.)|Sedatives or Benzodiazepines within 12 hours of testing|Clinically significant neurological disease (e.g., seizures)|History of mental retardation or developmental disability|Alcohol or substance dependence in the last 6 months|Alcohol or substance abuse in the last 1 month|Change in medication in past 6 weeks|Change in in living situation in the last 2 months|Inpatient hospitalization in past 3 months|Participation in prior studies involving tDCS","The investigators plan to recruit 40 individuals diagnosed with Schizophrenia. Participants will range from 18-55 years old. We will select stable, medicated patients who have not been hospitalized nor had any changes in their antipsychotic medications during the previous two months. Participants will not be tested within 12 hours of taking medications that may affect cognition (such as benzodiazepines and anticholinergics). All medications will be recorded. The investigators expect most of the patients to be relatively chronic (mean illness chronicity approximately 15 years, based on previous studies), although we will not select for chronicity.||All participants will provide written informed consent after receiving a full explanation of the procedures according to approvals by the Institutional Review Boards. They will arrive for three visits. In the first visit, they will be consented, complete the diagnostic interview, the rating scales, and will undergo one of three randomly assigned stimulation conditions: 1) anodal tDCS, 2) cathodaltDCS, and 3) sham stimulation. They will also undergo an electroencephalography (EEG) procedure, in order to more directly assess the effect of tDCS on brain function. This visit will take approximately five hours to complete, and breaks will be given as needed. Immediately following stimulation, participants will complete neurocognitive, social cognitive, and EEG measures. There will be two 20-minute stimulation sessions, with a break of one hour between the sessions. After each session, participants will be asked to complete a portion of the basic cognitive, social cognitive, and EEG measures, so that half of the measures will be completed after the first 20 minute stimulation session and the other half will be completed after the second 20 minute stimulation session. The order of administration of the neurocognitive, social cognitive, and EEG measures will be randomized across participants within each group. During the second and third visits, participants will undergo the remaining two stimulation conditions, one randomly assigned condition each visit. These visits will take approximately four hours to complete, and each visit will be separated by at least one week from the previous visit.",0,Completed,Los Angeles,October 2014,0
635,NCT00757978,Memantine as Adjunctive Therapy for Schizophrenia Negative Symptoms,Schizophrenia,Inclusion Criteria:||Under clozapine with negative symptoms||Exclusion Criteria:||Pregnancy|Lactation,0,Schizophrenia|negative symptoms|clozapine,Completed,Porto Alegre,January 2006,0
636,NCT00333177,Psychosocial Therapy and Risperidone Treatment in Work Performance in Recent-Onset Schizophrenia,Schizophrenia,"Inclusion Criteria:||Diagnosis of schizophrenia, schizoaffective disorder (depressed type), or schizophreniform disorder|First major episode of psychotic symptoms occurred within 2 years prior to study entry||Exclusion Criteria:||Neurological disorder or injury (e.g., encephalitis, epilepsy, traumatic brain injury)|Mental retardation (e.g., premorbid intelligence quotient (IQ) less than 70)|Significant alcohol or substance use during last 6 months|Unable to complete research measures in English|Any condition that may make risperidone use medically inadvisable","Schizophrenia is a chronic, severe, and disabling brain disorder. People with schizophrenia often experience hallucinations, delusions, thought disorders, and movement disorders. These symptoms make it difficult to maintain a job, participate in school, and keep up self-care. Proper treatment of first-episode schizophrenia may increase the chances of controlling disease progression on a long-term basis. Antipsychotic medications, such as risperidone, and psychosocial treatments, such as cognitive enhancement training and health behavior training, are common, effective treatments for schizophrenia. This study will determine the effectiveness of various combinations of psychosocial therapy and risperidone treatment in improving work or school performance in people with first-episode schizophrenia.||Participants in this open label study will be randomly assigned to receive one of the following four combinations of an antipsychotic medication and a psychosocial treatment: cognitive enhancement training plus oral risperidone; cognitive enhancement training plus long-acting injectable risperidone; health behavior training plus oral risperidone; or health behavior training plus long-acting injectable risperidone. Cognitive enhancement training will entail 2 hours per week of computer-assisted training targeted at improving attention, memory, and problem-solving skills. Additionally, participants will attend a weekly 1-hour group meeting to learn how to apply these skills to work and school situations. Health behavior training will involve 3 hours per week of relaxation training, nutrition education, and physical exercise to enhance wellness. Participants assigned to receive oral risperidone will receive their medication in pill form at the dosage determined to be optimal by the study psychiatrist. Participants assigned to receive injectable risperidone will be given one injection every 2 weeks. Dosages will start at 25 mg per injection and will be adjusted as needed.||Treatment will continue for 1 year following dosage stabilization, which typically occurs 2 to 3 months following study entry. For the first 6 months, participants assigned to receive health behavior training will attend study visits once a week and participants assigned to receive cognitive enhancement training will attend study visits once a week. For the final 6 months, all participants will attend study visits twice weekly. At each visit, participants will receive their assigned psychosocial treatment; attend group therapy; meet with a case manager for counseling and assessment of symptoms, work functioning, and social functioning; and meet with a psychiatrist to monitor medication response. Additional cognitive and health behavior measures will be taken every 6 months to assess treatment effectiveness.","Schizoaffective Disorder, Depressed Type|Schizophreniform Disorder|First-Episode Schizophrenia|Supported Employment|Cognitive Remediation|Health Behavior Training|Antipsychotic Medication",Completed,Los Angeles,March 2006,0
637,NCT00816894,D-serine Monotherapy for Schizophrenia,Schizophrenia,"Inclusion Criteria:||Age 18-70;|Diagnosis of schizophrenia/schizoaffective disorder according to DSM-IV criteria.|Stable dose antipsychotic treatment for at least 4 weeks;|Treatment refractoriness according to Kane et al.(1988) criteria.||Exclusion Criteria:||Meeting criteria for other DSM-IV Axis I diagnoses ;|Substance abuse or alcoholism during entire lifetime;|Are judged clinically to be at suicidal or homicidal risk;|Female patients who are pregnant or lactating; female patients who are not pregnant or lactating, if sexually active, must be using medically accepted means of contraception;|Patients with known intolerance to OLA treatment or who have failed an adequate trial of OLA (at least 6 weeks) at high doses (20 mg/day or higher);|Patients treated with depot antipsychotics or ECT within the eight weeks prior to study entry.",0,schizophrenia|treatment resistance|D-serine|Olanzapine|treatment refractory schizophrenia,Completed,Jerusalem,January 2009,0
638,NCT01409590,Exercise and Diet Program for Schizophrenia Patients Who Are Taking Atypical Antipsychotic Medications,Schizophrenia,Inclusion Criteria:||Schizophrenia|Atypical neuroleptics||Exclusion Criteria:||Medical illness preventing exercise,0,Schizophrenia|weight gain|atypical neuroleptics,Completed,Tel Hashomer,May 2005,0
639,NCT02339844,Pan European Collaboration on Antipsychotic Naïve Schizophrenia II,Schizophrenia,"Inclusion Criteria Patients:||Fulfilling the diagnostic criteria of schizophrenia or schizoaffective disorder according to ICD-10 (International Classification of Diseases version 10) or DSM-IV/V (Diagnostic and Statistical Manual version 4 /5)|Age 18-45 years|Never treated with antipsychotic compounds or central nervous system (CNS) stimulants|Legally competent||Inclusion criteria controls:||Matching patients on age (+/- 2 years), sex and parental socioeconomic status|Age 18-45 years|No psychiatric or physical disease||Exclusion Criteria patients:||Substance abuse on a daily basis during the last 3 month or patients fulfilling the criteria of ongoing substance abuse due to ICD-10/DSM-IV/V|Treatment with antidepressant during the last 30 days|Head injury with more than 5 minutes of unconsciousness|Patients involuntarily admitted or treated|Components of metal implanted by operation|Pacemaker|Pregnancy|Severe physical illness||Exclusion criteria controls||First degree relatives with psychiatric disease|Substance abuse during the last 3 month or positive screening of drugs in urine-sample|Head injury with more than 5 minutes of unconsciousness|Components of metal implanted by operation|Pacemaker|Pregnancy|Severe physical illness","The study is a prospective 2 year multimodal follow-up study of initially antipsychotic-naïve first-episode psychotic patients involving a standardized intervention with monotherapy with aripiprazole during the first 6 weeks. Patients and matched healthy controls will be examined at baseline and after 6 weeks, 6 months and 2 years.||Levels of glutamate and gamma-aminobutyric acid (GABA) are measured by proton magnetic resonance spectroscopy (1H-MRS) in the anterior cingulate cortex ACC and thalamus. Presynaptic Dopamine level is measured with Positron Emission Tomography Computed Tomography (PET/CT)-scanning using 3,4-dihydroxy-6-[18F]fluoro-L-phenylalanine (18F-DOPA). Disturbances of the reward system is measured with functional magnetic resonance imaging (fMRI) . Regional cerebral blood flow and activity in the same regions are measured with Pseudo-continuous arterial spin labelling (pCASL). The default mode network, functional and structural connectivity in the associated macro circuits are measured with resting state fMRI, EEG, and diffusion tensor imaging. Structural brain changes (in grey and white matter) are measured with MRI. Cognitive functions are measured with a neuropsychological test battery, and early information processing with event related EEG and electromyography (EMG) (psychophysiological examinations). Further patients psychopathology will be rated.",glutamate|dopamine|cognition|cortical thickness|ppi|p50,Completed,Copenhagen,January 2014,https://www.psykiatri-regionh.dk/cinsr/Pages/default.aspx
640,NCT02848885,The Effects of tDCS on Illness Awareness in Schizophrenia,Schizophrenia,"Inclusion Criteria:||Male or female inpatients or outpatients ≥ 18 years of age|Having a DSM-IV diagnosis of schizophrenia or schizoaffective disorder|Voluntary and capable of consenting to participation in the research study|Fluent in English|Moderate-to-severe lack of illness awareness (≥3 on PANSS G12 Insight and Judgment item)|On a stable dose of antipsychotic and other concomitant medications, and unlikely to undergo changes in dose during the study||Exclusion Criteria:||Serious unstable medical illness or any concomitant major medical or neurological illness, including a history of seizures or a first degree relative with a history of a seizure disorder|Acute suicidal and/or homicidal ideation|Formal thought disorder rating of over 2 on the (Scale for Assessment of Positive Symptoms) SAPS.|DSM-IV substance dependence (except caffeine and nicotine) within one month prior to entering the study|Pregnant women|Mild lack of insight to good illness awareness (<3 on PANSS G12 Insight and Judgment item).|Positive urine drug screen for drugs of abuse|Currently taking antiepileptics|Any contraindications to MRI (eg., metal implants that would preclude an MRI, claustrophobia)|Score < 32 on the Wide Range Achievement Test-III (WRAT III)","Transcranial DCS is a novel, non-invasive and non-convulsive technique for altering brain function. To our knowledge, no research has investigated the functional and behavioural effects of tDCS on anosognosia in schizophrenia. As such, we aim to improve impaired illness awareness in schizophrenia with tDCS by inhibiting left hemisphere regions (i.e. temporoparietooccipital cortex) shown by our group to be activated during illness denial.||Positive results will demonstrate that impaired illness awareness in schizophrenia involves a similar brain network to impaired illness awareness in patients with brain lesions and can be similarly modulated with non-invasive techniques, such as tDCS. If proven effective, this easy to administer, safe, non-invasive intervention would have the potential to alter individuals' attitude towards their illness and medication, leading ultimately to an improvement in individuals' capacity for illness recognition and treatment engagement, which would undoubtedly have a significant impact on the management of this devastating mental disorder.",Magnetic resonance imaging|Anosognosia|Electrical stimulation of the brain,Recruiting,Toronto,August 2016,http://www.camh.net/research
